@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute outputs-1 {0,1,2}

@data
29,'2018/07/07 11:38:12:127',3,6.148472,5.789286,0.405227,1.259246,1.269617,-0.468299,0.207745,-0.506855,-1.077425,-0.531868,0.176814,-0.462494,0.001262,0.315203,0.620352,0.493246,?
30,'2018/07/07 11:38:12:382',3,0.633976,0.016902,0.690198,-0.006025,-0.23954,-0.230074,-0.087858,-0.13239,-0.439865,0.154857,-0.399517,0.563573,0.070936,0.165698,-0.218111,-0.298324,?
31,'2018/07/07 11:38:12:637',3,0.169976,0.767015,-0.985298,0.699189,-0.129915,-0.045256,0.417577,-0.72817,0.771304,-0.024344,-0.080712,-0.215231,0.260949,-0.377304,0.528458,-0.255717,?
32,'2018/07/07 11:38:12:891',3,0.316545,-0.489209,0.443182,0.272881,-0.404133,-0.011164,-1.14237,0.519586,1.17569,-0.213434,-0.268792,0.07272,-0.122039,-0.361676,0.15609,0.354852,?
33,'2018/07/07 11:38:13:402',3,0.089224,-0.649411,-0.328608,0.015306,-0.40607,0.000585,0.115752,-0.27817,0.070831,-0.020348,-0.423062,0.116581,-0.016868,0.003475,-0.078788,-0.366785,?
34,'2018/07/07 11:38:13:908',3,-0.474501,-0.347384,0.673531,0.696739,0.854406,0.442466,0.104341,-0.656736,-0.047109,-0.009164,-0.090243,-0.492022,-0.368959,-0.036674,-0.07212,0.210736,?
35,'2018/07/07 11:38:14:160',3,0.023151,-0.137924,-0.530059,-0.418285,-0.400484,-0.484495,-0.114806,-0.247511,-0.172163,0.009799,-0.220366,0.037952,-0.150938,-0.191997,-0.001268,0.093564,?
36,'2018/07/07 11:38:14:416',3,0.929906,1.313007,1.800483,0.83569,0.939382,0.436419,0.394497,-0.053958,-0.682357,-0.365452,-0.180403,0.193002,-0.316619,-0.268796,0.406353,-0.0905,?
37,'2018/07/07 11:38:14:671',3,0.928612,1.366233,1.17557,0.907382,0.897794,0.205745,0.50728,0.252525,0.341174,0.251896,-0.138265,-0.122778,-0.360582,0.380083,0.041605,-0.143327,?
38,'2018/07/07 11:38:14:923',3,-0.718092,-0.407849,-0.033757,0.403297,-0.060716,-0.575217,0.02359,-0.249757,-0.028704,0.234497,-0.230832,0.124627,0.064889,-0.083021,-0.151421,0.066691,?
39,'2018/07/07 11:38:15:432',3,0.124049,0.210852,0.044217,0.452587,0.386697,0.463953,0.299632,-0.000293,0.049359,0.098828,0.260773,0.051304,0.10847,0.023068,0.118476,0.091495,?
